complaint,category,date,region
I want to complain that tenant is not vacating house,Property Dispute,2022-07-08,Kolkata
I am writing to report that illegal construction near my property,Property Dispute,2023-05-20,Mumbai
I want to complain that builder did not give possession of flat,Property Dispute,2022-08-24,Delhi
I am facing an issue where builder did not give possession of flat,Property Dispute,2023-03-06,Chennai
I want to complain that tenant is not vacating house,Property Dispute,2023-03-07,Pune
This is regarding that illegal construction near my property,Property Dispute,2024-03-24,Pune
I want to complain that property documents are disputed,Property Dispute,2022-05-11,Bangalore
I am writing to report that neighbor illegally occupied my land,Property Dispute,2024-01-24,Pune
I want to complain that tenant is not vacating house,Property Dispute,2023-05-19,Delhi
I need help since neighbor illegally occupied my land,Property Dispute,2024-01-01,Delhi
I need help since neighbor illegally occupied my land,Property Dispute,2022-01-28,Kolkata
Kindly look into the matter: property documents are disputed,Property Dispute,2024-08-13,Pune
Kindly look into the matter: tenant is not vacating house,Property Dispute,2022-07-12,Chennai
Tenant is not vacating house,Property Dispute,2022-01-30,Chennai
I am writing to report that illegal construction near my property,Property Dispute,2022-12-29,Chennai
I am facing an issue where builder did not give possession of flat,Property Dispute,2023-01-17,Delhi
I want to complain that illegal construction near my property,Property Dispute,2024-12-23,Ahmedabad
This is regarding that tenant is not vacating house,Property Dispute,2022-09-26,Hyderabad
This problem occurred because builder did not give possession of flat,Property Dispute,2023-11-05,Kolkata
This is regarding that illegal construction near my property,Property Dispute,2024-08-29,Bangalore
I am facing an issue where illegal construction near my property,Property Dispute,2024-10-05,Ahmedabad
This is regarding that neighbor illegally occupied my land,Property Dispute,2024-06-13,Kolkata
I am facing an issue where illegal construction near my property,Property Dispute,2023-07-02,Mumbai
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-07-08,Bangalore
I need help since tenant is not vacating house,Property Dispute,2024-08-14,Bangalore
property documents are disputed and no action has been taken,Property Dispute,2023-02-27,Delhi
This problem occurred because neighbor illegally occupied my land,Property Dispute,2024-01-01,Ahmedabad
Builder did not give possession of flat,Property Dispute,2023-10-25,Kolkata
Please help as illegal construction near my property,Property Dispute,2022-03-28,Hyderabad
I want to complain that tenant is not vacating house,Property Dispute,2022-08-03,Ahmedabad
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-12-15,Pune
Kindly look into the matter: tenant is not vacating house,Property Dispute,2023-03-20,Bangalore
Kindly look into the matter: property documents are disputed,Property Dispute,2022-10-30,Bangalore
Please help as builder did not give possession of flat,Property Dispute,2024-05-07,Mumbai
I am facing an issue where builder did not give possession of flat,Property Dispute,2024-09-19,Hyderabad
I am writing to report that illegal construction near my property,Property Dispute,2023-09-16,Delhi
This problem occurred because tenant is not vacating house,Property Dispute,2022-12-19,Delhi
This problem occurred because neighbor illegally occupied my land,Property Dispute,2023-06-27,Kolkata
I need help since neighbor illegally occupied my land,Property Dispute,2023-07-04,Mumbai
I need help since property documents are disputed,Property Dispute,2022-03-21,Mumbai
I want to complain that tenant is not vacating house,Property Dispute,2024-12-07,Bangalore
I need help since neighbor illegally occupied my land,Property Dispute,2022-01-15,Pune
I need help since neighbor illegally occupied my land,Property Dispute,2022-02-05,Pune
Please help as illegal construction near my property,Property Dispute,2024-06-16,Ahmedabad
Property documents are disputed,Property Dispute,2022-08-26,Hyderabad
I want to complain that property documents are disputed,Property Dispute,2022-03-29,Delhi
Neighbor illegally occupied my land,Property Dispute,2024-07-12,Hyderabad
I need help since illegal construction near my property,Property Dispute,2022-03-28,Delhi
I need help since neighbor illegally occupied my land,Property Dispute,2022-08-29,Hyderabad
Property documents are disputed,Property Dispute,2022-01-20,Ahmedabad
I am writing to report that neighbor illegally occupied my land,Property Dispute,2023-08-31,Kolkata
Neighbor illegally occupied my land,Property Dispute,2023-06-18,Ahmedabad
I need help since tenant is not vacating house,Property Dispute,2022-08-19,Kolkata
I am writing to report that property documents are disputed,Property Dispute,2024-12-20,Kolkata
I am writing to report that neighbor illegally occupied my land,Property Dispute,2023-01-11,Kolkata
Please help as tenant is not vacating house,Property Dispute,2024-03-06,Kolkata
Please help as property documents are disputed,Property Dispute,2022-11-15,Pune
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2024-11-04,Mumbai
Neighbor illegally occupied my land,Property Dispute,2024-09-10,Kolkata
I am writing to report that neighbor illegally occupied my land,Property Dispute,2022-10-31,Mumbai
tenant is not vacating house and no action has been taken,Property Dispute,2024-10-19,Delhi
Neighbor illegally occupied my land,Property Dispute,2023-06-28,Chennai
This problem occurred because property documents are disputed,Property Dispute,2023-10-30,Delhi
Kindly look into the matter: illegal construction near my property,Property Dispute,2022-10-15,Chennai
illegal construction near my property and no action has been taken,Property Dispute,2023-12-13,Kolkata
Please help as tenant is not vacating house,Property Dispute,2022-10-15,Chennai
Builder did not give possession of flat,Property Dispute,2023-09-10,Chennai
This is regarding that neighbor illegally occupied my land,Property Dispute,2022-10-23,Mumbai
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-01-02,Bangalore
property documents are disputed and no action has been taken,Property Dispute,2023-10-03,Mumbai
I am writing to report that property documents are disputed,Property Dispute,2024-06-21,Hyderabad
I need help since neighbor illegally occupied my land,Property Dispute,2023-01-04,Ahmedabad
Please help as illegal construction near my property,Property Dispute,2023-11-25,Delhi
I want to complain that property documents are disputed,Property Dispute,2024-01-07,Chennai
I am facing an issue where builder did not give possession of flat,Property Dispute,2022-12-17,Bangalore
I want to complain that tenant is not vacating house,Property Dispute,2022-04-09,Chennai
I want to complain that tenant is not vacating house,Property Dispute,2024-04-23,Ahmedabad
I am writing to report that builder did not give possession of flat,Property Dispute,2024-10-24,Ahmedabad
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2022-07-14,Kolkata
I want to complain that property documents are disputed,Property Dispute,2024-08-11,Delhi
Please help as property documents are disputed,Property Dispute,2022-03-14,Bangalore
Please help as property documents are disputed,Property Dispute,2023-11-30,Kolkata
This problem occurred because builder did not give possession of flat,Property Dispute,2023-03-24,Delhi
I am writing to report that tenant is not vacating house,Property Dispute,2024-01-08,Ahmedabad
Please help as builder did not give possession of flat,Property Dispute,2024-07-08,Hyderabad
Kindly look into the matter: property documents are disputed,Property Dispute,2023-11-05,Mumbai
Please help as neighbor illegally occupied my land,Property Dispute,2023-12-06,Chennai
I am writing to report that neighbor illegally occupied my land,Property Dispute,2022-11-20,Ahmedabad
I am facing an issue where illegal construction near my property,Property Dispute,2023-08-16,Ahmedabad
I am facing an issue where builder did not give possession of flat,Property Dispute,2022-04-06,Mumbai
builder did not give possession of flat and no action has been taken,Property Dispute,2024-09-14,Hyderabad
Kindly look into the matter: tenant is not vacating house,Property Dispute,2024-09-13,Chennai
This is regarding that builder did not give possession of flat,Property Dispute,2024-05-06,Kolkata
Illegal construction near my property,Property Dispute,2022-09-12,Hyderabad
This is regarding that builder did not give possession of flat,Property Dispute,2024-08-15,Mumbai
Kindly look into the matter: tenant is not vacating house,Property Dispute,2023-01-28,Bangalore
This problem occurred because property documents are disputed,Property Dispute,2023-04-13,Hyderabad
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2023-01-07,Kolkata
illegal construction near my property and no action has been taken,Property Dispute,2022-11-13,Hyderabad
I am writing to report that builder did not give possession of flat,Property Dispute,2022-11-21,Ahmedabad
Property documents are disputed,Property Dispute,2024-09-24,Bangalore
I am writing to report that tenant is not vacating house,Property Dispute,2023-05-10,Hyderabad
This is regarding that tenant is not vacating house,Property Dispute,2023-11-07,Pune
This problem occurred because neighbor illegally occupied my land,Property Dispute,2023-08-14,Bangalore
I want to complain that builder did not give possession of flat,Property Dispute,2024-10-30,Kolkata
I am writing to report that tenant is not vacating house,Property Dispute,2024-07-09,Bangalore
I am writing to report that builder did not give possession of flat,Property Dispute,2024-09-19,Bangalore
illegal construction near my property and no action has been taken,Property Dispute,2023-11-23,Delhi
I need help since property documents are disputed,Property Dispute,2023-02-18,Chennai
This is regarding that property documents are disputed,Property Dispute,2024-02-15,Ahmedabad
This is regarding that tenant is not vacating house,Property Dispute,2024-05-08,Hyderabad
This is regarding that property documents are disputed,Property Dispute,2024-03-28,Hyderabad
neighbor illegally occupied my land and no action has been taken,Property Dispute,2022-09-18,Pune
I am writing to report that builder did not give possession of flat,Property Dispute,2023-04-14,Bangalore
I am writing to report that property documents are disputed,Property Dispute,2022-11-26,Ahmedabad
tenant is not vacating house and no action has been taken,Property Dispute,2023-05-09,Hyderabad
This is regarding that builder did not give possession of flat,Property Dispute,2024-08-09,Bangalore
I am facing an issue where illegal construction near my property,Property Dispute,2022-04-03,Kolkata
I need help since property documents are disputed,Property Dispute,2023-03-02,Pune
This problem occurred because illegal construction near my property,Property Dispute,2023-04-06,Ahmedabad
Kindly look into the matter: property documents are disputed,Property Dispute,2024-06-10,Kolkata
I need help since illegal construction near my property,Property Dispute,2023-08-02,Mumbai
Builder did not give possession of flat,Property Dispute,2024-04-18,Delhi
I am facing an issue where tenant is not vacating house,Property Dispute,2023-03-14,Hyderabad
Please help as property documents are disputed,Property Dispute,2024-12-11,Delhi
property documents are disputed and no action has been taken,Property Dispute,2023-01-24,Ahmedabad
This problem occurred because builder did not give possession of flat,Property Dispute,2022-05-11,Kolkata
This is regarding that illegal construction near my property,Property Dispute,2022-09-10,Bangalore
Neighbor illegally occupied my land,Property Dispute,2022-04-21,Mumbai
I am facing an issue where illegal construction near my property,Property Dispute,2022-05-26,Mumbai
Please help as neighbor illegally occupied my land,Property Dispute,2022-01-16,Hyderabad
Kindly look into the matter: illegal construction near my property,Property Dispute,2022-11-29,Hyderabad
This problem occurred because tenant is not vacating house,Property Dispute,2023-12-05,Delhi
illegal construction near my property and no action has been taken,Property Dispute,2023-12-26,Kolkata
This is regarding that builder did not give possession of flat,Property Dispute,2023-04-28,Ahmedabad
Please help as illegal construction near my property,Property Dispute,2024-07-29,Chennai
Kindly look into the matter: tenant is not vacating house,Property Dispute,2023-02-14,Ahmedabad
This is regarding that illegal construction near my property,Property Dispute,2024-12-23,Bangalore
Please help as illegal construction near my property,Property Dispute,2022-11-23,Ahmedabad
Property documents are disputed,Property Dispute,2023-04-28,Hyderabad
Kindly look into the matter: illegal construction near my property,Property Dispute,2022-07-22,Kolkata
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-08-14,Kolkata
This is regarding that tenant is not vacating house,Property Dispute,2024-08-14,Chennai
neighbor illegally occupied my land and no action has been taken,Property Dispute,2023-01-04,Bangalore
Kindly look into the matter: tenant is not vacating house,Property Dispute,2024-05-05,Pune
Kindly look into the matter: property documents are disputed,Property Dispute,2024-06-18,Pune
I am writing to report that property documents are disputed,Property Dispute,2024-03-08,Pune
I need help since property documents are disputed,Property Dispute,2023-08-16,Mumbai
This problem occurred because neighbor illegally occupied my land,Property Dispute,2023-02-10,Mumbai
Illegal construction near my property,Property Dispute,2022-01-31,Ahmedabad
This is regarding that illegal construction near my property,Property Dispute,2023-10-16,Delhi
This is regarding that tenant is not vacating house,Property Dispute,2023-09-07,Delhi
Please help as illegal construction near my property,Property Dispute,2024-02-04,Pune
I am writing to report that tenant is not vacating house,Property Dispute,2022-07-30,Pune
I need help since tenant is not vacating house,Property Dispute,2023-09-23,Chennai
I want to complain that property documents are disputed,Property Dispute,2023-01-06,Hyderabad
This problem occurred because neighbor illegally occupied my land,Property Dispute,2024-05-05,Bangalore
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-04-12,Delhi
Kindly look into the matter: illegal construction near my property,Property Dispute,2023-06-14,Kolkata
I need help since builder did not give possession of flat,Property Dispute,2023-03-12,Mumbai
Please help as property documents are disputed,Property Dispute,2022-03-24,Chennai
I am facing an issue where tenant is not vacating house,Property Dispute,2023-11-29,Chennai
This problem occurred because builder did not give possession of flat,Property Dispute,2022-03-27,Kolkata
I want to complain that neighbor illegally occupied my land,Property Dispute,2023-05-18,Mumbai
I want to complain that neighbor illegally occupied my land,Property Dispute,2022-03-31,Bangalore
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2024-03-28,Pune
I am writing to report that builder did not give possession of flat,Property Dispute,2022-09-10,Pune
This is regarding that builder did not give possession of flat,Property Dispute,2024-07-24,Kolkata
builder did not give possession of flat and no action has been taken,Property Dispute,2024-01-07,Delhi
This problem occurred because property documents are disputed,Property Dispute,2023-06-27,Mumbai
Tenant is not vacating house,Property Dispute,2024-06-08,Pune
I want to complain that property documents are disputed,Property Dispute,2024-09-18,Hyderabad
Please help as property documents are disputed,Property Dispute,2022-07-16,Mumbai
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2023-09-03,Chennai
I want to complain that builder did not give possession of flat,Property Dispute,2023-12-16,Delhi
Please help as neighbor illegally occupied my land,Property Dispute,2022-01-18,Chennai
I want to complain that property documents are disputed,Property Dispute,2024-01-22,Chennai
I need help since neighbor illegally occupied my land,Property Dispute,2023-12-13,Delhi
Please help as illegal construction near my property,Property Dispute,2022-06-06,Mumbai
This is regarding that builder did not give possession of flat,Property Dispute,2022-02-10,Bangalore
This is regarding that illegal construction near my property,Property Dispute,2024-06-07,Pune
I am facing an issue where builder did not give possession of flat,Property Dispute,2023-03-07,Hyderabad
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2022-04-08,Delhi
I am facing an issue where illegal construction near my property,Property Dispute,2022-05-19,Hyderabad
Please help as builder did not give possession of flat,Property Dispute,2024-06-27,Hyderabad
Please help as tenant is not vacating house,Property Dispute,2022-06-13,Mumbai
This problem occurred because illegal construction near my property,Property Dispute,2022-02-25,Kolkata
I am facing an issue where property documents are disputed,Property Dispute,2023-05-01,Hyderabad
I want to complain that property documents are disputed,Property Dispute,2024-04-10,Mumbai
I need help since builder did not give possession of flat,Property Dispute,2022-03-21,Chennai
I am writing to report that builder did not give possession of flat,Property Dispute,2022-06-27,Ahmedabad
This is regarding that builder did not give possession of flat,Property Dispute,2023-09-03,Kolkata
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2024-05-21,Mumbai
I want to complain that tenant is not vacating house,Property Dispute,2024-10-31,Pune
I need help since property documents are disputed,Property Dispute,2024-10-07,Chennai
This is regarding that tenant is not vacating house,Property Dispute,2023-01-25,Mumbai
I am writing to report that neighbor illegally occupied my land,Property Dispute,2023-08-14,Pune
Please help as neighbor illegally occupied my land,Property Dispute,2023-01-08,Hyderabad
I need help since tenant is not vacating house,Property Dispute,2023-12-05,Pune
I want to complain that neighbor illegally occupied my land,Property Dispute,2023-12-10,Mumbai
This problem occurred because neighbor illegally occupied my land,Property Dispute,2023-09-26,Kolkata
Please help as tenant is not vacating house,Property Dispute,2024-12-23,Delhi
I am writing to report that neighbor illegally occupied my land,Property Dispute,2024-05-12,Pune
Illegal construction near my property,Property Dispute,2023-12-15,Ahmedabad
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2023-03-05,Ahmedabad
This is regarding that tenant is not vacating house,Property Dispute,2023-09-01,Chennai
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2022-05-02,Bangalore
I want to complain that property documents are disputed,Property Dispute,2023-06-08,Mumbai
I need help since neighbor illegally occupied my land,Property Dispute,2022-01-16,Kolkata
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2023-08-25,Delhi
This problem occurred because illegal construction near my property,Property Dispute,2022-01-14,Pune
Please help as neighbor illegally occupied my land,Property Dispute,2022-09-15,Mumbai
builder did not give possession of flat and no action has been taken,Property Dispute,2024-12-24,Kolkata
I need help since builder did not give possession of flat,Property Dispute,2022-05-15,Hyderabad
Property documents are disputed,Property Dispute,2022-12-10,Kolkata
This problem occurred because tenant is not vacating house,Property Dispute,2023-10-19,Pune
This is regarding that neighbor illegally occupied my land,Property Dispute,2023-07-10,Kolkata
This problem occurred because property documents are disputed,Property Dispute,2023-12-14,Kolkata
This problem occurred because property documents are disputed,Property Dispute,2023-01-09,Delhi
Neighbor illegally occupied my land,Property Dispute,2024-06-12,Pune
Please help as illegal construction near my property,Property Dispute,2023-06-21,Ahmedabad
This is regarding that illegal construction near my property,Property Dispute,2023-06-11,Chennai
This problem occurred because illegal construction near my property,Property Dispute,2022-12-01,Hyderabad
This problem occurred because property documents are disputed,Property Dispute,2023-01-07,Mumbai
Please help as builder did not give possession of flat,Property Dispute,2024-07-13,Ahmedabad
I want to complain that illegal construction near my property,Property Dispute,2023-09-17,Pune
I am writing to report that illegal construction near my property,Property Dispute,2024-10-20,Mumbai
I am writing to report that tenant is not vacating house,Property Dispute,2024-08-01,Kolkata
I need help since illegal construction near my property,Property Dispute,2022-01-12,Delhi
I am writing to report that builder did not give possession of flat,Property Dispute,2023-12-28,Ahmedabad
This problem occurred because neighbor illegally occupied my land,Property Dispute,2024-05-25,Pune
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-02-15,Mumbai
I want to complain that neighbor illegally occupied my land,Property Dispute,2022-02-23,Kolkata
I need help since builder did not give possession of flat,Property Dispute,2024-09-01,Pune
I am writing to report that illegal construction near my property,Property Dispute,2022-05-30,Chennai
I am writing to report that builder did not give possession of flat,Property Dispute,2023-06-06,Chennai
Kindly look into the matter: tenant is not vacating house,Property Dispute,2024-04-12,Bangalore
tenant is not vacating house and no action has been taken,Property Dispute,2022-11-01,Mumbai
builder did not give possession of flat and no action has been taken,Property Dispute,2023-11-16,Pune
I need help since property documents are disputed,Property Dispute,2022-06-15,Pune
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2022-08-08,Mumbai
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2022-03-25,Ahmedabad
Please help as illegal construction near my property,Property Dispute,2024-12-29,Delhi
Please help as builder did not give possession of flat,Property Dispute,2023-02-14,Delhi
I want to complain that neighbor illegally occupied my land,Property Dispute,2023-06-27,Bangalore
Tenant is not vacating house,Property Dispute,2022-03-25,Pune
I am writing to report that tenant is not vacating house,Property Dispute,2024-07-13,Ahmedabad
This is regarding that tenant is not vacating house,Property Dispute,2022-07-27,Bangalore
I need help since property documents are disputed,Property Dispute,2023-06-10,Mumbai
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2024-07-31,Kolkata
This is regarding that property documents are disputed,Property Dispute,2024-04-27,Kolkata
I am facing an issue where tenant is not vacating house,Property Dispute,2023-05-05,Mumbai
I am facing an issue where neighbor illegally occupied my land,Property Dispute,2022-11-26,Hyderabad
I am facing an issue where builder did not give possession of flat,Property Dispute,2024-02-10,Bangalore
This problem occurred because neighbor illegally occupied my land,Property Dispute,2024-08-02,Kolkata
I want to complain that property documents are disputed,Property Dispute,2024-09-24,Chennai
Kindly look into the matter: tenant is not vacating house,Property Dispute,2024-01-16,Chennai
Please help as tenant is not vacating house,Property Dispute,2024-06-17,Delhi
This is regarding that tenant is not vacating house,Property Dispute,2023-05-07,Kolkata
property documents are disputed and no action has been taken,Property Dispute,2022-08-30,Bangalore
Please help as illegal construction near my property,Property Dispute,2022-12-22,Chennai
I am writing to report that builder did not give possession of flat,Property Dispute,2022-08-27,Delhi
This is regarding that tenant is not vacating house,Property Dispute,2022-07-01,Delhi
I need help since property documents are disputed,Property Dispute,2022-04-28,Bangalore
I am writing to report that builder did not give possession of flat,Property Dispute,2023-11-18,Pune
This problem occurred because builder did not give possession of flat,Property Dispute,2023-06-22,Hyderabad
I want to complain that illegal construction near my property,Property Dispute,2024-07-28,Mumbai
This is regarding that property documents are disputed,Property Dispute,2022-09-21,Chennai
Neighbor illegally occupied my land,Property Dispute,2023-12-25,Pune
I am writing to report that property documents are disputed,Property Dispute,2024-07-28,Mumbai
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-09-19,Kolkata
I want to complain that tenant is not vacating house,Property Dispute,2024-11-20,Ahmedabad
This problem occurred because builder did not give possession of flat,Property Dispute,2022-12-01,Chennai
Kindly look into the matter: property documents are disputed,Property Dispute,2022-02-22,Delhi
This problem occurred because builder did not give possession of flat,Property Dispute,2023-04-01,Mumbai
illegal construction near my property and no action has been taken,Property Dispute,2022-07-17,Bangalore
I need help since property documents are disputed,Property Dispute,2024-12-04,Kolkata
This is regarding that illegal construction near my property,Property Dispute,2024-07-30,Hyderabad
Neighbor illegally occupied my land,Property Dispute,2023-02-27,Hyderabad
I need help since tenant is not vacating house,Property Dispute,2022-02-16,Chennai
I am writing to report that neighbor illegally occupied my land,Property Dispute,2022-11-12,Hyderabad
I want to complain that illegal construction near my property,Property Dispute,2024-03-09,Bangalore
Please help as builder did not give possession of flat,Property Dispute,2022-10-09,Pune
Please help as builder did not give possession of flat,Property Dispute,2023-05-16,Hyderabad
I want to complain that illegal construction near my property,Property Dispute,2023-03-01,Bangalore
I am writing to report that neighbor illegally occupied my land,Property Dispute,2023-08-02,Hyderabad
I am writing to report that property documents are disputed,Property Dispute,2024-05-09,Pune
builder did not give possession of flat and no action has been taken,Property Dispute,2022-09-28,Pune
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2022-10-04,Kolkata
I am facing an issue where property documents are disputed,Property Dispute,2024-08-29,Ahmedabad
I am facing an issue where illegal construction near my property,Property Dispute,2023-08-23,Ahmedabad
Builder did not give possession of flat,Property Dispute,2023-10-11,Delhi
Builder did not give possession of flat,Property Dispute,2023-09-28,Mumbai
This problem occurred because neighbor illegally occupied my land,Property Dispute,2022-09-15,Mumbai
This problem occurred because builder did not give possession of flat,Property Dispute,2023-02-12,Mumbai
builder did not give possession of flat and no action has been taken,Property Dispute,2024-08-01,Chennai
This is regarding that neighbor illegally occupied my land,Property Dispute,2022-01-17,Bangalore
Kindly look into the matter: illegal construction near my property,Property Dispute,2023-10-06,Bangalore
I want to complain that tenant is not vacating house,Property Dispute,2024-10-24,Mumbai
neighbor illegally occupied my land and no action has been taken,Property Dispute,2023-03-14,Hyderabad
Kindly look into the matter: neighbor illegally occupied my land,Property Dispute,2023-07-16,Delhi
I want to complain that property documents are disputed,Property Dispute,2023-08-15,Mumbai
I want to complain that neighbor illegally occupied my land,Property Dispute,2024-08-21,Delhi
I am facing an issue where property documents are disputed,Property Dispute,2024-06-17,Delhi
I need help since tenant is not vacating house,Property Dispute,2023-01-17,Chennai
neighbor illegally occupied my land and no action has been taken,Property Dispute,2023-09-18,Chennai
I want to complain that illegal construction near my property,Property Dispute,2024-02-02,Hyderabad
I am writing to report that neighbor illegally occupied my land,Property Dispute,2023-11-14,Chennai
Please help as tenant is not vacating house,Property Dispute,2022-02-11,Delhi
Builder did not give possession of flat,Property Dispute,2023-09-27,Pune
Please help as builder did not give possession of flat,Property Dispute,2022-08-14,Ahmedabad
I am writing to report that property documents are disputed,Property Dispute,2024-11-15,Delhi
I want to complain that neighbor illegally occupied my land,Property Dispute,2022-01-27,Bangalore
neighbor illegally occupied my land and no action has been taken,Property Dispute,2022-07-26,Ahmedabad
tenant is not vacating house and no action has been taken,Property Dispute,2024-09-24,Hyderabad
Neighbor illegally occupied my land,Property Dispute,2024-04-10,Bangalore
I am writing to report that builder did not give possession of flat,Property Dispute,2023-08-08,Mumbai
illegal construction near my property and no action has been taken,Property Dispute,2022-08-20,Pune
I am facing an issue where property documents are disputed,Property Dispute,2024-05-09,Pune
Kindly look into the matter: tenant is not vacating house,Property Dispute,2024-05-13,Hyderabad
This problem occurred because tenant is not vacating house,Property Dispute,2023-06-04,Hyderabad
I am facing an issue where tenant is not vacating house,Property Dispute,2022-08-01,Pune
Property documents are disputed,Property Dispute,2024-11-26,Kolkata
I need help since tenant is not vacating house,Property Dispute,2022-02-15,Kolkata
This problem occurred because builder did not give possession of flat,Property Dispute,2023-03-25,Delhi
This problem occurred because tenant is not vacating house,Property Dispute,2024-04-03,Ahmedabad
neighbor illegally occupied my land and no action has been taken,Property Dispute,2024-12-16,Chennai
I need help since illegal construction near my property,Property Dispute,2024-12-13,Ahmedabad
Please help as builder did not give possession of flat,Property Dispute,2022-10-09,Chennai
I want to complain that builder did not give possession of flat,Property Dispute,2024-09-02,Hyderabad
This problem occurred because tenant is not vacating house,Property Dispute,2022-08-23,Chennai
I need help since neighbor illegally occupied my land,Property Dispute,2023-08-05,Ahmedabad
This problem occurred because neighbor illegally occupied my land,Property Dispute,2023-01-26,Mumbai
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2024-05-03,Pune
I am facing an issue where builder did not give possession of flat,Property Dispute,2024-07-24,Bangalore
This problem occurred because tenant is not vacating house,Property Dispute,2022-07-26,Bangalore
I am facing an issue where illegal construction near my property,Property Dispute,2024-11-21,Ahmedabad
I am writing to report that tenant is not vacating house,Property Dispute,2022-07-31,Delhi
I want to complain that property documents are disputed,Property Dispute,2024-05-03,Hyderabad
Please help as builder did not give possession of flat,Property Dispute,2023-11-20,Delhi
Please help as neighbor illegally occupied my land,Property Dispute,2023-08-19,Bangalore
property documents are disputed and no action has been taken,Property Dispute,2022-04-20,Pune
I want to complain that neighbor illegally occupied my land,Property Dispute,2024-10-06,Delhi
I am facing an issue where tenant is not vacating house,Property Dispute,2022-05-17,Delhi
builder did not give possession of flat and no action has been taken,Property Dispute,2024-10-14,Delhi
illegal construction near my property and no action has been taken,Property Dispute,2022-01-08,Bangalore
I am facing an issue where builder did not give possession of flat,Property Dispute,2024-03-17,Kolkata
This problem occurred because tenant is not vacating house,Property Dispute,2023-03-23,Mumbai
Please help as illegal construction near my property,Property Dispute,2022-08-14,Ahmedabad
I am writing to report that property documents are disputed,Property Dispute,2023-01-10,Chennai
I need help since property documents are disputed,Property Dispute,2022-08-02,Pune
I want to complain that property documents are disputed,Property Dispute,2024-08-11,Hyderabad
I am writing to report that illegal construction near my property,Property Dispute,2023-09-17,Kolkata
This problem occurred because illegal construction near my property,Property Dispute,2024-11-07,Hyderabad
Kindly look into the matter: builder did not give possession of flat,Property Dispute,2022-08-17,Pune
Tenant is not vacating house,Property Dispute,2023-06-27,Pune
I am writing to report that builder did not give possession of flat,Property Dispute,2022-04-16,Kolkata
I am writing to report that illegal construction near my property,Property Dispute,2023-07-21,Pune
This is regarding that illegal construction near my property,Property Dispute,2023-02-26,Pune
I am writing to report that tenant is not vacating house,Property Dispute,2024-03-02,Chennai
Kindly look into the matter: tenant is not vacating house,Property Dispute,2024-08-19,Bangalore
This is regarding that illegal construction near my property,Property Dispute,2024-05-12,Pune
This problem occurred because tenant is not vacating house,Property Dispute,2023-01-15,Ahmedabad
This problem occurred because tenant is not vacating house,Property Dispute,2023-03-24,Kolkata
This is regarding that illegal construction near my property,Property Dispute,2023-03-21,Delhi
I am writing to report that property documents are disputed,Property Dispute,2022-12-11,Ahmedabad
tenant is not vacating house and no action has been taken,Property Dispute,2022-01-28,Pune
builder did not give possession of flat and no action has been taken,Property Dispute,2023-08-31,Chennai
Please help as illegal construction near my property,Property Dispute,2022-11-22,Mumbai
This is regarding that property documents are disputed,Property Dispute,2022-03-02,Pune
I am facing an issue where illegal construction near my property,Property Dispute,2023-09-27,Kolkata
Please help as tenant is not vacating house,Property Dispute,2022-10-08,Bangalore
Please help as tenant is not vacating house,Property Dispute,2022-02-22,Kolkata
I am writing to report that neighbor illegally occupied my land,Property Dispute,2024-05-12,Mumbai
Neighbor illegally occupied my land,Property Dispute,2023-10-01,Hyderabad
Property documents are disputed,Property Dispute,2024-03-16,Chennai
I want to complain that builder did not give possession of flat,Property Dispute,2024-08-16,Bangalore
This is regarding that property documents are disputed,Property Dispute,2024-08-09,Pune
property documents are disputed and no action has been taken,Property Dispute,2023-10-14,Chennai
tenant is not vacating house and no action has been taken,Property Dispute,2022-03-28,Delhi
Kindly look into the matter: property documents are disputed,Property Dispute,2024-11-12,Pune
Kindly look into the matter: property documents are disputed,Property Dispute,2023-02-20,Chennai
This problem occurred because tenant is not vacating house,Property Dispute,2024-08-18,Bangalore
This is regarding that neighbor illegally occupied my land,Property Dispute,2023-12-09,Bangalore
I am writing to report that illegal construction near my property,Property Dispute,2022-08-07,Delhi
This problem occurred because property documents are disputed,Property Dispute,2024-08-08,Mumbai
